Location,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh
Lat40.00_Lon-100.00,1,0,0,0.25,85.50
Lat40.00_Lon-100.00,2,0,5,0.45,75.25
Lat40.00_Lon-100.00,3,1,10,0.65,68.75
Lat35.00_Lon-80.00,1,0,0,0.28,82.00
Lat35.00_Lon-80.00,2,1,5,0.52,70.50
Lat35.00_Lon-80.00,3,2,10,0.72,65.25
Lat51.50_Lon-0.10,1,0,0,0.15,95.00
Lat51.50_Lon-0.10,1,1,5,0.35,85.50
Lat51.50_Lon-0.10,2,2,10,0.55,78.25
Lat-33.90_Lon151.20,1,0,0,0.30,80.00
Lat-33.90_Lon151.20,2,1,5,0.55,68.50
Lat-33.90_Lon151.20,3,2,12,0.75,62.00
Lat25.00_Lon55.00,1,0,0,0.35,75.00
Lat25.00_Lon55.00,3,0,8,0.70,58.50
Lat25.00_Lon55.00,5,1,15,0.85,55.25
Lat-23.50_Lon-46.60,1,0,0,0.22,88.00
Lat-23.50_Lon-46.60,2,1,6,0.48,72.50
Lat-23.50_Lon-46.60,4,1,12,0.68,65.75
Lat35.70_Lon139.70,1,0,0,0.20,90.00
Lat35.70_Lon139.70,2,1,7,0.42,78.50
Lat35.70_Lon139.70,3,2,10,0.60,70.25
